date,BASE_n+1,PEAK5_n+1,TGeBase
01.01.2020,252.1,296.47,188.71
01.02.2020,244.97,286.15,169.05
01.03.2020,227.79,267.58,165.06
01.04.2020,225.35,268.35,149.89
01.05.2020,221.33,266.53,174.43
01.06.2020,232.13,275.93,217.69
01.07.2020,238.94,282.42,221.88
01.08.2020,229.56,270.01,233.74
01.09.2020,233.43,273.58,243.54
01.10.2020,224.01,261.04,240.34
01.11.2020,221.56,257.2,251.72
01.12.2020,235.62,271.2,259.79
01.01.2021,256.7,293.83,262.5
01.02.2021,272.37,308.33,273.66
01.03.2021,293.89,327.17,277.5
01.04.2021,308.2,339.63,276.65
01.05.2021,339.74,369.58,300.83
01.06.2021,345.04,380.1,353.2
01.07.2021,351.68,391.46,377.99
01.08.2021,361.56,404.47,383.61
01.09.2021,401.19,446.9,465.82
01.10.2021,441.88,509.76,458.76
01.11.2021,461.63,555.57,552.67
01.12.2021,776.69,891.53,831.3
01.01.2022,627.18,841.75,667.31
01.02.2022,618.32,789.73,523.65
