data,CSS,koszt gazu,koszt uprawnieñ
01.01.2017,11.56,141.91,7.56
01.02.2017,9.09,142.99,7.49
01.03.2017,17.49,132.45,7.35
01.04.2017,15.88,134.79,6.83
01.05.2017,26.66,128.42,6.52
01.06.2017,31.03,124.71,7.08
01.07.2017,33.41,123.35,7.52
01.08.2017,34.03,124.23,8.14
01.09.2017,32.58,127.33,9.73
01.10.2017,19.97,135.42,10.5
01.11.2017,12.89,141.16,10.82
01.12.2017,5.21,144.15,10.4
01.01.2018,8.08,149.1,11.83
01.02.2018,6.55,155.44,13.25
01.03.2018,0.65,163.25,16.2
01.04.2018,18.27,140.38,18.77
01.05.2018,24.63,142.95,21.52
01.06.2018,27.08,147.22,22.05
01.07.2018,34.16,150.35,23.8
01.08.2018,35.49,152.32,27.26
01.09.2018,24.14,163.38,31.42
01.10.2018,16.82,168.69,28.61
01.11.2018,6.66,179.33,27.21
01.12.2018,-2.02,179.24,30.07
01.01.2019,26.4,186.24,33.4
01.02.2019,32.16,180.55,30.42
01.03.2019,35.17,172.69,31.77
01.04.2019,51.26,156.64,37.21
01.05.2019,55.7,155.86,37.09
01.06.2019,56.31,160.6,36.06
01.07.2019,53.25,159.2,40.16
01.08.2019,65.32,151.17,39.87
01.09.2019,74.51,141.93,37.97
01.10.2019,58.32,153.39,35.55
01.11.2019,51.52,157.46,35.63
01.12.2019,48.61,155.08,35.55
01.01.2020,77.61,141.94,35.06
01.02.2020,77.42,137.15,34.59
01.03.2020,83.26,134.08,29.67
01.04.2020,98.18,109.83,30.86
01.05.2020,100.24,112.06,30.08
01.06.2020,95.54,121.5,34.87
01.07.2020,98.25,116.62,41.15
01.08.2020,94.16,123.2,39.62
01.09.2020,98.02,118.92,41.69
01.10.2020,85.1,132.15,38.8
01.11.2020,84.15,131.27,40.03
01.12.2020,76.57,134.21,45.02
01.01.2021,35.33,150.62,51.51
01.02.2021,32.94,150.74,57.36
01.03.2021,28.73,149,63.1
01.04.2021,28.15,147.56,69.52
01.05.2021,20.5,148.86,79.76
01.06.2021,35.42,145.59,80.42
01.07.2021,21.49,168.44,82.67
01.08.2021,-4.52,192.29,87.18
01.09.2021,-61.9,259.91,94.98
01.10.2021,-101.58,303.51,92.76
01.11.2021,-135.6,343.98,103.31
01.12.2021,-202.69,437.75,126.15
01.01.2022,-203.28,568.41,128.36
01.02.2022,-218.97,552.43,138.96
01.03.2022,-240.68,606.77,120.33
01.04.2022,-248.56,607.81,126.63
01.05.2022,-198.4,549.14,134.22
01.06.2022,-116.31,513.15,130.13
01.07.2022,-204.35,649.75,131.95
01.08.2022,-260.44,759.34,140.15
01.09.2022,-387.9,844.75,111.64
01.10.2022,-154.77,634.97,113.18
01.11.2022,-221.39,712.4,120.16
01.12.2022,-312.25,798.95,137.35
01.01.2023,-163.9018743,1057.532785,127.3649506
01.02.2023,-182.7374106,1024.025534,147.7710546
01.03.2023,-119.2913776,964.6525056,142.271031
01.04.2023,87.03767716,619.1897399,140.9255724
01.05.2023,76.34341223,648.6720691,128.7933714
01.06.2023,55.84647578,789.6848346,128.7933714
01.07.2023,193.8308171,698.838099,128.7933714
01.08.2023,181.5391992,726.0469793,128.7933714
01.09.2023,178.813427,728.8543882,128.7933714
01.10.2023,200.5312735,738.7770151,128.7933714
01.11.2023,201.0541773,738.7770151,128.7933714
01.12.2023,199.8347324,738.7770151,128.7933714
